Id,ModelId,Make
1,7,'chevrolet chevelle malibu'
2,4,'buick skylark 320'
3,24,'plymouth satellite'
4,1,'amc rebel sst'
5,13,'ford torino'
6,13,'ford galaxie 500'
7,7,'chevrolet impala'
8,24,'plymouth fury iii'
9,25,'pontiac catalina'
10,1,'amc ambassador dpl'
11,9,'citroen ds-21 pallas'
12,7,'chevrolet chevelle concours (sw)'
13,13,'ford torino (sw)'
14,24,'plymouth satellite (sw)'
15,1,'amc rebel sst (sw)'
16,11,'dodge challenger se'
17,24,'plymouth cuda 340'
18,13,'ford mustang boss 302'
19,7,'chevrolet monte carlo'
20,4,'buick estate wagon (sw)'
21,29,'toyota corona mark ii'
22,24,'plymouth duster'
23,1,'amc hornet'
24,13,'ford maverick'
25,10,'datsun pl510'
26,31,'volkswagen 1131 deluxe sedan'
27,23,'peugeot 504'
28,2,'audi 100 ls'
29,27,'saab 99e'
30,3,'bmw 2002'
31,1,'amc gremlin'
32,13,'ford f250'
33,7,'chevy c20'
34,11,'dodge d200'
36,10,'datsun pl510'
37,7,'chevrolet vega 2300'
38,29,'toyota corona'
39,13,'ford pinto'
40,31,'volkswagen super beetle 117'
41,1,'amc gremlin'
42,24,'plymouth satellite custom'
43,7,'chevrolet chevelle malibu'
44,13,'ford torino 500'
45,1,'amc matador'
46,7,'chevrolet impala'
47,25,'pontiac catalina brougham'
48,13,'ford galaxie 500'
49,24,'plymouth fury iii'
50,11,'dodge monaco (sw)'
51,13,'ford country squire (sw)'
52,25,'pontiac safari (sw)'
53,1,'amc hornet sportabout (sw)'
54,7,'chevrolet vega (sw)'
55,25,'pontiac firebird'
56,13,'ford mustang'
57,19,'mercury capri 2000'
58,22,'opel 1900'
59,23,'peugeot 304'
60,12,'fiat 124b'
61,29,'toyota corolla 1200'
62,10,'datsun 1200'
63,31,'volkswagen model 111'
64,24,'plymouth cricket'
65,29,'toyota corona hardtop'
66,11,'dodge colt hardtop'
67,31,'volkswagen type 3'
68,7,'chevrolet vega'
69,13,'ford pinto runabout'
70,7,'chevrolet impala'
71,25,'pontiac catalina'
72,24,'plymouth fury iii'
73,13,'ford galaxie 500'
74,1,'amc ambassador sst'
75,19,'mercury marquis'
76,4,'buick lesabre custom'
77,21,'oldsmobile delta 88 royale'
78,8,'chrysler newport royal'
79,16,'mazda rx2 coupe'
80,1,'amc matador (sw)'
81,7,'chevrolet chevelle concours (sw)'
82,13,'ford gran torino (sw)'
83,24,'plymouth satellite custom (sw)'
84,32,'volvo 145e (sw)'
85,31,'volkswagen 411 (sw)'
86,23,'peugeot 504 (sw)'
87,26,'renault 12 (sw)'
88,13,'ford pinto (sw)'
89,10,'datsun 510 (sw)'
90,29,'toyota corona mark ii (sw)'
91,11,'dodge colt (sw)'
92,29,'toyota corolla 1600 (sw)'
93,4,'buick century 350'
94,1,'amc matador'
95,7,'chevrolet malibu'
96,13,'ford gran torino'
97,11,'dodge coronet custom'
98,19,'mercury marquis brougham'
99,7,'chevrolet caprice classic'
100,13,'ford ltd'
101,24,'plymouth fury gran sedan'
102,8,'chrysler new yorker brougham'
103,4,'buick electra 225 custom'
104,1,'amc ambassador brougham'
105,24,'plymouth valiant'
106,7,'chevrolet nova custom'
107,1,'amc hornet'
108,13,'ford maverick'
109,24,'plymouth duster'
110,31,'volkswagen super beetle'
111,7,'chevrolet impala'
112,13,'ford country'
113,24,'plymouth custom suburb'
114,21,'oldsmobile vista cruiser'
115,1,'amc gremlin'
116,29,'toyota carina'
117,7,'chevrolet vega'
118,10,'datsun 610'
119,16,'mazda rx3'
120,13,'ford pinto'
121,19,'mercury capri v6'
122,12,'fiat 124 sport coupe'
123,7,'chevrolet monte carlo s'
124,25,'pontiac grand prix'
125,12,'fiat 128'
126,22,'opel manta'
127,2,'audi 100ls'
128,32,'volvo 144ea'
129,11,'dodge dart custom'
130,27,'saab 99le'
131,29,'toyota mark ii'
132,21,'oldsmobile omega'
133,24,'plymouth duster'
134,13,'ford maverick'
135,1,'amc hornet'
136,7,'chevrolet nova'
137,10,'datsun b210'
138,13,'ford pinto'
139,29,'toyota corolla 1200'
140,7,'chevrolet vega'
141,7,'chevrolet chevelle malibu classic'
142,1,'amc matador'
143,24,'plymouth satellite sebring'
144,13,'ford gran torino'
145,4,'buick century luxus (sw)'
146,11,'dodge coronet custom (sw)'
147,13,'ford gran torino (sw)'
148,1,'amc matador (sw)'
149,2,'audi fox'
150,31,'volkswagen dasher'
151,22,'opel manta'
152,29,'toyota corona'
153,10,'datsun 710'
154,11,'dodge colt'
155,12,'fiat 128'
156,12,'fiat 124 tc'
157,15,'honda civic'
158,28,'subaru'
159,12,'fiat x1.9'
160,24,'plymouth valiant custom'
161,7,'chevrolet nova'
162,19,'mercury monarch'
163,13,'ford maverick'
164,25,'pontiac catalina'
165,7,'chevrolet bel air'
166,24,'plymouth grand fury'
167,13,'ford ltd'
168,4,'buick century'
169,7,'chevrolet chevelle malibu'
170,1,'amc matador'
171,24,'plymouth fury'
172,4,'buick skyhawk'
173,7,'chevrolet monza 2+2'
174,13,'ford mustang ii'
175,29,'toyota corolla'
176,13,'ford pinto'
177,1,'amc gremlin'
178,25,'pontiac astro'
179,29,'toyota corona'
180,31,'volkswagen dasher'
181,10,'datsun 710'
182,13,'ford pinto'
183,31,'volkswagen rabbit'
184,1,'amc pacer'
185,2,'audi 100ls'
186,23,'peugeot 504'
187,32,'volvo 244dl'
188,27,'saab 99le'
189,15,'honda civic cvcc'
190,12,'fiat 131'
191,22,'opel 1900'
192,6,'capri ii'
193,11,'dodge colt'
194,26,'renault 12tl'
195,7,'chevrolet chevelle malibu classic'
196,11,'dodge coronet brougham'
197,1,'amc matador'
198,13,'ford gran torino'
199,24,'plymouth valiant'
200,7,'chevrolet nova'
201,13,'ford maverick'
202,1,'amc hornet'
203,7,'chevrolet chevette'
204,7,'chevrolet woody'
205,31,'vw rabbit'
206,15,'honda civic'
207,11,'dodge aspen se'
208,13,'ford granada ghia'
209,25,'pontiac ventura sj'
210,1,'amc pacer d/l'
211,31,'volkswagen rabbit'
212,10,'datsun b-210'
213,29,'toyota corolla'
214,13,'ford pinto'
215,32,'volvo 245'
216,24,'plymouth volare premier v8'
217,23,'peugeot 504'
218,29,'toyota mark ii'
219,18,'mercedes-benz 280s'
220,5,'cadillac seville'
221,7,'chevy c10'
222,13,'ford f108'
223,11,'dodge d100'
224,15,'honda accord cvcc'
225,4,'buick opel isuzu deluxe'
226,26,'renault 5 gtl'
227,24,'plymouth arrow gs'
228,10,'datsun f-10 hatchback'
229,7,'chevrolet caprice classic'
230,21,'oldsmobile cutlass supreme'
231,11,'dodge monaco brougham'
232,19,'mercury cougar brougham'
233,7,'chevrolet concours'
234,4,'buick skylark'
235,24,'plymouth volare custom'
236,13,'ford granada'
237,25,'pontiac grand prix lj'
238,7,'chevrolet monte carlo landau'
239,8,'chrysler cordoba'
240,13,'ford thunderbird'
241,31,'volkswagen rabbit custom'
242,25,'pontiac sunbird coupe'
243,29,'toyota corolla liftback'
244,13,'ford mustang ii 2+2'
245,7,'chevrolet chevette'
246,11,'dodge colt m/m'
247,28,'subaru dl'
248,31,'volkswagen dasher'
249,10,'datsun 810'
250,3,'bmw 320i'
251,16,'mazda rx-4'
252,31,'volkswagen rabbit custom diesel'
253,13,'ford fiesta'
254,16,'mazda glc deluxe'
255,10,'datsun b210 gx'
256,15,'honda civic cvcc'
257,21,'oldsmobile cutlass salon brougham'
258,11,'dodge diplomat'
259,19,'mercury monarch ghia'
260,25,'pontiac phoenix lj'
261,7,'chevrolet malibu'
262,13,'ford fairmont (auto)'
263,13,'ford fairmont (man)'
264,24,'plymouth volare'
265,1,'amc concord'
266,4,'buick century special'
267,19,'mercury zephyr'
268,11,'dodge aspen'
269,1,'amc concord d/l'
270,7,'chevrolet monte carlo landau'
271,4,'buick regal sport coupe (turbo)'
272,13,'ford futura'
273,11,'dodge magnum xe'
274,7,'chevrolet chevette'
275,29,'toyota corona'
276,10,'datsun 510'
277,11,'dodge omni'
278,29,'toyota celica gt liftback'
279,24,'plymouth sapporo'
280,21,'oldsmobile starfire sx'
281,10,'datsun 200-sx'
282,2,'audi 5000'
283,32,'volvo 264gl'
284,27,'saab 99gle'
285,23,'peugeot 604sl'
286,31,'volkswagen scirocco'
287,15,'honda accord lx'
288,25,'pontiac lemans v6'
289,19,'mercury zephyr 6'
290,13,'ford fairmont 4'
291,1,'amc concord dl 6'
292,11,'dodge aspen 6'
293,7,'chevrolet caprice classic'
294,13,'ford ltd landau'
295,19,'mercury grand marquis'
296,11,'dodge st. regis'
297,4,'buick estate wagon (sw)'
298,13,'ford country squire (sw)'
299,7,'chevrolet malibu classic (sw)'
300,8,'chrysler lebaron town @ country (sw)'
301,31,'vw rabbit custom'
302,16,'mazda glc deluxe'
303,11,'dodge colt hatchback custom'
304,1,'amc spirit dl'
305,17,'mercedes benz 300d'
306,5,'cadillac eldorado'
307,23,'peugeot 504'
308,21,'oldsmobile cutlass salon brougham'
309,24,'plymouth horizon'
310,24,'plymouth horizon tc3'
311,10,'datsun 210'
312,12,'fiat strada custom'
313,4,'buick skylark limited'
314,7,'chevrolet citation'
315,21,'oldsmobile omega brougham'
316,25,'pontiac phoenix'
317,31,'vw rabbit'
318,29,'toyota corolla tercel'
319,7,'chevrolet chevette'
320,10,'datsun 310'
321,7,'chevrolet citation'
322,13,'ford fairmont'
323,1,'amc concord'
324,11,'dodge aspen'
325,2,'audi 4000'
326,29,'toyota corona liftback'
327,16,'mazda 626'
328,10,'datsun 510 hatchback'
329,29,'toyota corolla'
330,16,'mazda glc'
331,11,'dodge colt'
332,10,'datsun 210'
333,31,'vw rabbit c (diesel)'
334,31,'vw dasher (diesel)'
335,2,'audi 5000s (diesel)'
336,18,'mercedes-benz 240d'
337,15,'honda civic 1500 gl'
338,26,'renault lecar deluxe'
339,28,'subaru dl'
340,31,'volkswagen rabbit'
341,10,'datsun 280-zx'
342,16,'mazda rx-7 gs'
343,30,'triumph tr7 coupe'
344,13,'ford mustang cobra'
345,15,'honda accord'
346,24,'plymouth reliant'
347,4,'buick skylark'
348,11,'dodge aries wagon (sw)'
349,7,'chevrolet citation'
350,24,'plymouth reliant'
351,29,'toyota starlet'
352,24,'plymouth champ'
353,15,'honda civic 1300'
354,28,'subaru'
355,10,'datsun 210 mpg'
356,29,'toyota tercel'
357,16,'mazda glc 4'
358,24,'plymouth horizon 4'
359,13,'ford escort 4w'
360,13,'ford escort 2h'
361,31,'volkswagen jetta'
362,26,'renault 18i'
363,15,'honda prelude'
364,29,'toyota corolla'
365,10,'datsun 200sx'
366,16,'mazda 626'
367,23,'peugeot 505s turbo diesel'
368,27,'saab 900s'
369,32,'volvo diesel'
370,29,'toyota cressida'
371,10,'datsun 810 maxima'
372,4,'buick century'
373,21,'oldsmobile cutlass ls'
374,13,'ford granada gl'
375,8,'chrysler lebaron salon'
376,7,'chevrolet cavalier'
377,7,'chevrolet cavalier wagon'
378,7,'chevrolet cavalier 2-door'
379,25,'pontiac j2000 se hatchback'
380,11,'dodge aries se'
381,25,'pontiac phoenix'
382,13,'ford fairmont futura'
383,1,'amc concord dl'
384,31,'volkswagen rabbit l'
385,16,'mazda glc custom l'
386,16,'mazda glc custom'
387,24,'plymouth horizon miser'
388,19,'mercury lynx l'
389,20,'nissan stanza xe'
390,15,'honda accord'
391,29,'toyota corolla'
392,15,'honda civic'
393,15,'honda civic (auto)'
394,10,'datsun 310 gx'
395,4,'buick century limited'
396,21,'oldsmobile cutlass ciera (diesel)'
397,8,'chrysler lebaron medallion'
398,13,'ford granada l'
399,29,'toyota celica gt'
400,11,'dodge charger 2.2'
401,7,'chevrolet camaro'
402,13,'ford mustang gl'
403,31,'vw pickup'
404,11,'dodge rampage'
405,13,'ford ranger'
406,7,'chevy s-10'
